ID;PAÍS;QUANTIDADE (Kg) 2005;VALOR (US$) 2005;QUANTIDADE (Kg) 2006;VALOR (US$) 2006;QUANTIDADE (Kg) 2007;VALOR (US$) 2007;QUANTIDADE (Kg) 2008;VALOR (US$) 2008;QUANTIDADE (Kg) 2009;VALOR (US$) 2009;QUANTIDADE (Kg) 2010;VALOR (US$) 2010;QUANTIDADE (Kg) 2011;VALOR (US$) 2011;QUANTIDADE (Kg) 2012;VALOR (US$) 2012;QUANTIDADE (Kg) 2013;VALOR (US$) 2013;QUANTIDADE (Kg) 2014;VALOR (US$) 2014;QUANTIDADE (Kg) 2015;VALOR (US$) 2015;QUANTIDADE (Kg) 2016;VALOR (US$) 2016;QUANTIDADE (Kg) 2017;VALOR (US$) 2017;QUANTIDADE (Kg) 2018;VALOR (US$) 2018;QUANTIDADE (Kg) 2019;VALOR (US$) 2019
61;Jordânia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265;171
62;Letonia;0;0;0;0;0;0;0;0;0;0;32400;86769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;55
63;Líbano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;177
64;Libéria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297;4183;9242;29430
65;Líbia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;44
66;Lituania;30762;30770;120780;150840;195696;278716;94212;175035;45900;147364;140380;340302;114350;245434;111944;302874;119288;263523;255411;534737;133236;208166;0;0;0;0;0;0;0;0
67;Luxemburgo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4320;15993;0;0;0;0;0;0;0;0;1416;2074;0;0;7;19
68;Malasia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;101;20;58
69;Malta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;689;1720;4094;11635
70;Ilhas Marshall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1430;4184;9668;30841
71;Martinica;130390;241152;16320;35130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;Mauricio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;Mexico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;Mônaco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;29
75;Nigéria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61200;82620;0;0;0;0;0;0;0;0
76;Noruega;696600;2154385;954200;2603197;1624180;5462796;1434054;4094121;1406774;4007602;1016725;2766991;963990;2631452;1273703;3748091;1213647;3776488;918992;2423945;604000;1490491;661500;1603529;518000;1309866;168732;381452;277423;638830
77;Omã;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;193
78;Países Baixos;31845812;62855936;33642617;59580500;40604569;80976901;34413288;65227215;22662669;44184938;26149217;58803505;25334471;56063878;26638825;61694552;20822086;48735513;14927182;33260983;17860220;34025630;16136676;32374970;24328153;50499751;22330171;46725512;19526035;36061578
79;Panamá;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1675;5358;8349;25288
80;Paquistão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;Paraguai;0;0;0;0;0;0;0;0;0;0;577;1035;0;0;2005;4205;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;Polonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;53
83;Porto Rico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;Portugal;30600;45509;85428;96130;28253;54113;0;0;0;0;0;0;18;28;0;0;10;11;0;0;0;0;0;0;13155;21707;205;676;945;3146
85;Reino Unido;9929293;24216176;10149844;22014947;17676083;41153226;18580726;38772121;13299002;27473174;15023635;32927215;13266351;31910142;12426198;30179689;13294489;32153501;8957593;22621039;9569389;22726525;7619756;16444532;9034528;20326592;8558646;20872314;13501346;29677591
86;Republica Dominicana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;Romênia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;172;0;0
88;Rússia;104016;169275;214200;208256;550147;1045637;873977;1853317;31488;70848;301102;758660;501930;893448;45320;104620;61440;176640;66912;150552;208715;335657;0;0;199140;477800;80;454;48084;101082
89;São Tomé e Princípe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;Senegal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;Sri Lanka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;80
92;Suécia;572270;957432;66000;163225;192700;531390;246711;546159;161000;380804;368010;859539;240313;422429;364265;1076257;957936;2773969;0;0;89000;174394;357380;772718;249805;501518;101350;211213;72036;156611
93;Suíça;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1022;8624;472;3661
94;Suriname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;Tailândia;19200;38400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;495;879;3629
96;Taiwan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;115;0;0
97;Trindade e Tobago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;Togo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;52
99;Ilhas Turcas e Caicos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;23
100;Turquia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;440;485;1399
101;Tuvalu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;6;23
102;Uruguai;52251;22019;47555;20060;66352;37430;40428;60347;33634;64060;28848;48768;35216;90702;14864;39923;48720;117918;28960;73671;108040;177749;86816;203228;104368;253089;187316;301600;81440;98329
103;Venezuela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;Vietnã;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;51;0;0
